27 Noviembre,Internet of your things with Raspberry Pi 2 and the cloud,JUAN MANUEL SERVERA,16:00-16:45
27 Noviembre,Postgres como base de datos NoSQL,RUBÉN GÓMEZ GARCÍA,17:00-17:45
27 Noviembre,Primeros pasos con Go,DANIEL GONZÁLEZ CERVIÑO,17:00-17:45
27 Noviembre,Microservices and testing... talking from the experience,JAIRO GONZÁLEZ PÉREZ,17:00-17:45
27 Noviembre,Clean Architecture for Android,JOSE MANUEL PEREIRA GARCIA,17:00-17:45
27 Noviembre,Programación con Silex. Las cosas SI se pueden hacer bien con PHP,DANIEL PRIMO,17:00-17:45
27 Noviembre,Desarrollo móvil con Xamarin y F#,"ALEX CASQUETE, QUIQUE MARTÍNEZ ALÉN",17:00-17:45
27 Noviembre,Akka voló sobre el nido del Future,"JAVIER SANTOS PANIEGO, DAVID VALLEJO NAVARRO",17:00-17:45
27 Noviembre,La herencia es la clase base de todos los problemas,JOSE DANIEL GARCIA SANCHEZ,17:00-17:45
27 Noviembre,Blues,CHEMA ALONSO,18:00-18:45
27 Noviembre,Kotlin for Android Developers,ANTONIO LEIVA GORDILLO,18:00-18:45
27 Noviembre,He fracasado : Tengo mas de 30 y sigo programando,KATIA ARESTI,18:00-18:45
27 Noviembre,Patrones de diseño con Java 8,ALONSO JAVIER TORRES ORTIZ,18:00-18:45
27 Noviembre,Construyendo tu propia bola de cristal: predicción de precios con machine learning,RAFAEL BERMÚDEZ MÍGUEZ,18:00-18:45
27 Noviembre,React Native - El poder de React en el desarrollo móvil,EDUARD TOMÀS,18:00-18:45
27 Noviembre,La complejidad oculta de importar CSVs geoespaciales,RAFA DE LA TORRE,18:00-18:45
27 Noviembre,At your service! Practical uses of Service Workers,SALVADOR DE LA PUENTE GONZÁLEZ,18:00-18:45
27 Noviembre,Procesamiento en Tiempo Real con Meteor,"DAVID COLLADO, JORGE BARRACHINA, FRANCISCO CALLE MORENO, LUIS HERRANZ",18:00-18:45
27 Noviembre,Recetas para visualización de datos en la web con CartoDB,JORGE ARÉVALO,18:00-18:45
27 Noviembre,"Arquitectura y testing, el mantra del desarrollador Android feliz","PABLO GUARDIOLA, JOAQUIN ENGELMO MORICHE",18:00-18:45
27 Noviembre,Primeros pasos con Akka: Olvídate de los threads,"JUAN JOSE LOPEZ MARTIN, MIGUEL ANGEL FERNANDEZ",18:00-18:45
